epoch,loss,lr,val_loss,val_map,val_mpre,val_mrec
0,70170.2890625,0.001,219811.859375,nan,nan,nan
1,60310.87109375,0.001,216645.03125,nan,nan,nan
2,58217.86328125,0.001,213366.640625,nan,nan,nan
3,57072.65625,0.001,210512.375,nan,nan,nan
4,56063.4609375,0.001,207600.78125,nan,nan,nan
5,55101.109375,0.001,204436.53125,nan,nan,nan
6,54165.86328125,0.001,201303.15625,nan,nan,nan
7,53249.48828125,0.001,198024.390625,nan,nan,nan
8,52349.19140625,0.001,194597.0625,nan,nan,nan
9,51463.640625,0.001,191377.015625,nan,nan,nan
10,50592.19140625,0.001,188144.640625,nan,nan,nan
11,49734.36328125,0.001,184900.78125,nan,nan,nan
12,48889.51171875,0.001,181475.21875,nan,nan,nan
13,48058.65234375,0.001,178508.84375,nan,nan,nan
14,47240.13671875,0.001,175573.140625,nan,nan,nan
15,46435.03125,0.001,172530.015625,nan,nan,nan
16,45643.35546875,0.001,169703.234375,nan,nan,nan
17,44864.23828125,0.001,166821.421875,nan,nan,nan
18,44097.60546875,0.001,163998.53125,nan,nan,nan
19,43343.98046875,0.001,161410.625,nan,nan,nan
20,42602.85546875,0.001,158663.46875,nan,nan,nan
21,41873.9375,0.001,155989.765625,nan,nan,nan
22,41157.37109375,0.001,153563.8125,nan,nan,nan
23,40452.80078125,0.001,151042.859375,nan,nan,nan
24,39760.4375,0.001,148521.890625,nan,nan,nan
25,39080.11328125,0.001,145904.0625,nan,nan,nan
26,38411.65625,0.001,143476.796875,nan,nan,nan
27,37754.74609375,0.001,141047.734375,nan,nan,nan
28,37109.43359375,0.001,138591.75,nan,nan,nan
29,36475.5234375,0.001,136173.6875,nan,nan,nan
30,35852.78515625,0.001,133831.453125,nan,nan,nan
31,35241.33984375,0.001,131640.921875,nan,nan,nan
32,34640.83984375,0.001,129292.390625,nan,nan,nan
33,34051.0625,0.001,127121.1953125,nan,nan,nan
34,33472.2265625,0.001,124820.5,nan,nan,nan
35,32903.734375,0.001,122646.4375,nan,nan,nan
36,32345.89453125,0.001,120485.7734375,nan,nan,nan
37,31798.10546875,0.001,118384.328125,nan,nan,nan
38,31260.5078125,0.001,116406.9375,nan,nan,nan
39,30732.994140625,0.001,114547.3828125,nan,nan,nan
40,30215.263671875,0.001,112556.109375,nan,nan,nan
41,29706.998046875,0.001,110671.03125,nan,nan,nan
42,29208.580078125,0.001,108820.1640625,nan,nan,nan
